Not After,OCN,Org Name,Cert
"16 Aug 24 22:05 UTC","788J","Peeringhub Inc","http://sip-proxy01.n2net.net/certs/cert-1692309910"
"25 Sep 24 15:26 UTC","9555","Neustar Information Services Inc","https://46labsconvo.peeredge.com/cert/TOH7P0gL.pem"
"30 Apr 25 15:59 UTC","902K","Telonium Communications LLC","https://btbiz.46labs.com/btbiz.pem"
"05 Dec 24 03:21 UTC","644J","Sansay Corporation","https://bulkvs-cr.s3.amazonaws.com/644J_2023120501.pem"
"29 Apr 24 22:24 UTC","997E","Neustar Information Services Inc","https://bw-shaken-cert-pub.s3.amazonaws.com/bw-shaken_20240429.pem"
"15 Apr 25 16:57 UTC","997E","Neustar Information Services Inc","https://bw-shaken-cert-pub.s3.amazonaws.com/bw-shaken_20250415.cer"
"16 Mar 24 17:25 UTC","1733","Yelcot","https://cdn-cr.cgah.tnsi.com/certs/02f31fd9be31f3b5cc9fa396dc9fab04f1dc93e1"
"25 May 24 15:37 UTC","665E","WOW Internet Cable and Phone","https://cdn-cr.cgah.tnsi.com/certs/086231fe3b29598f23fa70a5dd994ed7153040a1"
"19 Jul 24 19:54 UTC","127E","New Horizon Communications","https://cdn-cr.cgah.tnsi.com/certs/0ecd34983b628fdc7c5a4fc3ab800205cd77c78e"
"15 Apr 24 15:27 UTC","600F","CBTS Technology Solutions LLC","https://cdn-cr.cgah.tnsi.com/certs/1fa17ac42885f55c6be50d2eb8b93b2a88085fa9"
"23 Mar 24 23:52 UTC","6581","Cspire","https://cdn-cr.cgah.tnsi.com/certs/2487f31aa2e09ad03fa91fa776793115d03392e9"
"10 Jun 24 16:14 UTC","5932","Carolina West Wireless","https://cdn-cr.cgah.tnsi.com/certs/35a1efb37497a631e809fad93c6ba2d86913e95c"
"20 Jun 24 15:05 UTC","7608","Buckeye Telesystem Inc","https://cdn-cr.cgah.tnsi.com/certs/3c6ee1503f2b739a7b68a95572cba9a30bfad75f"
"10 Jun 24 16:01 UTC","9915","Clearwave Communications","https://cdn-cr.cgah.tnsi.com/certs/3f50200812ae74381c792fbff3f17ef55608e51d"
"29 Jun 24 16:59 UTC","9262","Utility Telecom Group, LLC","https://cdn-cr.cgah.tnsi.com/certs/40f8209b7db250928de2793d9848e67759fbd400"
"09 Mar 24 20:50 UTC","6692","Northeast Communications of Wisconsin","https://cdn-cr.cgah.tnsi.com/certs/48d4fe9a7916f61f5a909f58cdde6d4ad5efbb5b"
"01 Mar 25 17:52 UTC","2159","Valley Telephone Cooperative Inc / VTX1","https://cdn-cr.cgah.tnsi.com/certs/4cd5b91a833e4ccd9c7f4dabacdd26e85cddf71d"
"17 May 24 13:22 UTC","6874","Viaero Wireless","https://cdn-cr.cgah.tnsi.com/certs/5da2f338f4df53a4a7212bae4465f45063b263b1"
"16 Mar 24 17:12 UTC","7785","GCI","https://cdn-cr.cgah.tnsi.com/certs/69fae8e574f06fb796e08c7b6ea847f2563cea5b"
"29 Jul 24 17:04 UTC","0406","Foothills Rural Tel","https://cdn-cr.cgah.tnsi.com/certs/75cbed3f99e2082742446010d73f3f45e7ffbb67"
"15 Sep 24 13:09 UTC","8331","CTS Telecom, Inc","https://cdn-cr.cgah.tnsi.com/certs/7813509dbefbc35fcd9a0c76b621f46290f5185f"
"03 Jun 24 17:29 UTC","2297","Union Telephone Company","https://cdn-cr.cgah.tnsi.com/certs/79b04ced7278d55340ae248b065543b91d3c6ed3"
